Tarifa,Descripción,Cargo,Unidades,Estado,Municipio,Division,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,AGUASCALIENTES,AGUASCALIENTES,BAJÍO,277.76,277.76,277.76,277.76,277.76,277.76
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,AGUASCALIENTES,AGUASCALIENTES,BAJÍO,1.659,1.672,1.672,1.717,1.751,1.702
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,AGUASCALIENTES,AGUASCALIENTES,BAJÍO,405.39,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,AGUASCALIENTES,AGUASCALIENTES,BAJÍO,270.04,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,AGUASCALIENTES,ASIENTOS,BAJÍO,277.76,277.76,277.76,277.76,277.76,277.76
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,AGUASCALIENTES,ASIENTOS,BAJÍO,1.659,1.672,1.672,1.717,1.751,1.702
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,AGUASCALIENTES,ASIENTOS,BAJÍO,405.39,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,AGUASCALIENTES,ASIENTOS,BAJÍO,270.04,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,AGUASCALIENTES,CALVILLO,BAJÍO,277.76,277.76,277.76,277.76,277.76,277.76
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,AGUASCALIENTES,CALVILLO,BAJÍO,1.659,1.672,1.672,1.717,1.751,1.702
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,AGUASCALIENTES,CALVILLO,BAJÍO,405.39,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,AGUASCALIENTES,CALVILLO,BAJÍO,270.04,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,AGUASCALIENTES,COSIO,BAJÍO,277.76,277.76,277.76,277.76,277.76,277.76
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,AGUASCALIENTES,COSIO,BAJÍO,1.659,1.672,1.672,1.717,1.751,1.702
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,AGUASCALIENTES,COSIO,BAJÍO,405.39,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,AGUASCALIENTES,COSIO,BAJÍO,270.04,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,AGUASCALIENTES,EL LLANO,BAJÍO,277.76,277.76,277.76,277.76,277.76,277.76
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,AGUASCALIENTES,EL LLANO,BAJÍO,1.659,1.672,1.672,1.717,1.751,1.702
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,AGUASCALIENTES,EL LLANO,BAJÍO,405.39,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,AGUASCALIENTES,EL LLANO,BAJÍO,270.04,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,AGUASCALIENTES,JESUS MARIA,BAJÍO,277.76,277.76,277.76,277.76,277.76,277.76
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,AGUASCALIENTES,JESUS MARIA,BAJÍO,1.659,1.672,1.672,1.717,1.751,1.702
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,AGUASCALIENTES,JESUS MARIA,BAJÍO,405.39,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,AGUASCALIENTES,JESUS MARIA,BAJÍO,270.04,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,AGUASCALIENTES,PABELLON DE ARTEAGA,BAJÍO,277.76,277.76,277.76,277.76,277.76,277.76
